program,input,execution,time_ms
floyd.exe,binomial,1,212
floyd.exe,binomial,2,211
floyd.exe,binomial,3,211
floyd.exe,binomial,4,211
floyd.exe,binomial,5,211
floyd.exe,binomial,6,211
floyd.exe,binomial,7,211
floyd.exe,binomial,8,211
floyd.exe,binomial,9,211
floyd.exe,binomial,10,211
floyd.exe,random1250,1,392
floyd.exe,random1250,2,390
floyd.exe,random1250,3,400
floyd.exe,random1250,4,388
floyd.exe,random1250,5,389
floyd.exe,random1250,6,389
floyd.exe,random1250,7,399
floyd.exe,random1250,8,409
floyd.exe,random1250,9,430
floyd.exe,random1250,10,430
floyd.exe,random250,1,423
floyd.exe,random250,2,435
floyd.exe,random250,3,391
floyd.exe,random250,4,440
floyd.exe,random250,5,426
floyd.exe,random250,6,386
floyd.exe,random250,7,389
floyd.exe,random250,8,410
floyd.exe,random250,9,434
floyd.exe,random250,10,428
