program,input,execution,time_ms
bfs.exe,binomial,1,0.037898
bfs.exe,binomial,2,0.037899
bfs.exe,binomial,3,0.039919
bfs.exe,binomial,4,0.038904
bfs.exe,binomial,5,0.041885
bfs.exe,binomial,6,0.043882
bfs.exe,binomial,7,0.043916
bfs.exe,binomial,8,0.039889
bfs.exe,binomial,9,0.038896
bfs.exe,binomial,10,0.039847
bfs.exe,random1250,1,0.084764
bfs.exe,random1250,2,0.081743
bfs.exe,random1250,3,0.084747
bfs.exe,random1250,4,0.082778
bfs.exe,random1250,5,0.079787
bfs.exe,random1250,6,0.082778
bfs.exe,random1250,7,0.080783
bfs.exe,random1250,8,0.082778
bfs.exe,random1250,9,0.082737
bfs.exe,random1250,10,0.082779
bfs.exe,random250,1,0.060837
bfs.exe,random250,2,0.058830
bfs.exe,random250,3,0.059851
bfs.exe,random250,4,0.062858
bfs.exe,random250,5,0.059839
bfs.exe,random250,6,0.057845
bfs.exe,random250,7,0.062867
bfs.exe,random250,8,0.059838
bfs.exe,random250,9,0.059840
bfs.exe,random250,10,0.061829
